;close;date;high;low;open;quoteVolume;volume;weightedAverage
0;326.99;2015-11-25 00:00:00;329;318.10010001;327.9998999;13.33573488;4363.41308284;327.19704779
1;355.10127219;2015-11-26 00:00:00;366.95586085;326.99047556;328.989999;37.19067652;12795.53470417;344.05221688
2;361.99995456;2015-11-27 00:00:00;378.888888;349.00000605;355.10130018;14.7870852;5368.60568671;363.06044187
3;356;2015-11-28 00:00:00;364;354.00000001;361.99995456;23.57980011;8422.3282943;357.18404121
4;375.00000004;2015-11-29 00:00:00;378.888888;356.50014836;357.100001;5.68108327;2090.20380147;367.92345792
5;379.49999999;2015-11-30 00:00:00;385.00000001;371.99999999;375;11.27324131;4270.35881246;378.80487918
6;364;2015-12-01 00:00:00;379.39999999;355;379.39999999;16.3985129;6039.86433605;368.31780862
7;365.65493181;2015-12-02 00:00:00;366.36659;353.525125;356.450002;10.15577701;3623.81496124;356.8230139
8;366.99999998;2015-12-03 00:00:00;375;356.00000801;365.46090835;7.39747862;2682.53387575;362.62813501
9;365.51;2015-12-04 00:00:00;366;355.12278158;364.99999941;11.14497171;4006.18956686;359.4616183
10;380.45053057;2015-12-05 00:00:00;392.265;360.12706417;365.49;39.76082827;14923.9584081;375.34324754
11;390.30007076;2015-12-06 00:00:00;400.00000001;380.99663008;389.99999944;24.53737778;9688.91212093;394.86338792
12;394.20032806;2015-12-07 00:00:00;403.00000001;388.00009037;397.99999989;16.49481465;6553.67471525;397.31726935
13;418.5542986;2015-12-08 00:00:00;418.5542986;392.20000001;398.5;20.93096423;8458.64850158;404.12130127
14;421.9999999;2015-12-09 00:00:00;428.99999997;404.48417735;413.00000018;34.80317519;14490.17812562;416.34644099
15;425.17679999;2015-12-10 00:00:00;425.17679999;410.000021;420.51425536;13.94814491;5793.98207009;415.39445621
16;452.70000009;2015-12-11 00:00:00;456.65800001;418.63267478;420.00000027;51.39556954;22657.15254636;440.8386316
17;430.15422975;2015-12-12 00:00:00;468;405.66284539;445.79596711;56.7266941;24374.04001909;429.67496001
18;433.00000202;2015-12-13 00:00:00;444.99999993;423.25;427.86722266;19.03911014;8316.76869106;436.82549393
19;443.09999999;2015-12-14 00:00:00;449.49498;431.00007782;433.04088808;9.45545849;4180.87865293;442.16561865
20;465.15045061;2015-12-15 00:00:00;465.15045069;442.99999993;443.00000009;33.24111974;15161.60372743;456.1098978
21;453.000001;2015-12-16 00:00:00;468.49999999;445;465.15045049;23.86513323;10825.19994283;453.5989738
22;453.500001;2015-12-17 00:00:00;457.9999;451;455.99999999;2.97226988;1346.45368139;453.00518989
23;460;2015-12-18 00:00:00;465;453.000001;453.500001;11.03898949;5049.65580533;457.43822927
24;460;2015-12-19 00:00:00;466.929;452.130001;458.000001;25.09808869;11513.43735268;458.73761523
25;438.10101011;2015-12-20 00:00:00;460;431.01;456.81643452;24.83811931;11042.25379025;444.568836
